Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-FHTI
Unit ID........: 10003459
EDC Models.....: P-4-6-G,,
SW Version.....: 1.2
Tracking Number: 456
Local Time: 2026/06/18 10:14:12 
Zulu Time.: 2026/06/18 17:14:12 
Flight Number: 1357
Engine Hours.: 2302.10 hrs
Tach Time....: 1287.65 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,VOLTS    ANN;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*F,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
10:14:12,TOTAL   : 30.99,980,960,980,72,23,13.8,13.8,7.4,4.7,219,189,227,257,229,60,229,65,65,65,64,65,1,65,10.5,10.5,10.4,10.4,53,65,65,51,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:58,  0:00,  0:00,0.0,  6:58,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:13,TOTAL   : 30.99,980,960,980,72,23,13.8,13.8,7.4,4.7,244,207,246,283,257,68,257,65,65,65,64,65,1,65,11.2,11.2,11.0,11.0,55,65,65,50,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:13,TOTAL   : 30.99,980,950,980,72,23,13.8,13.8,7.1,4.7,270,225,264,309,283,76,283,65,65,65,64,65,1,65,11.8,11.8,11.6,11.6,57,65,65,50,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:13,TOTAL   : 30.99,980,950,980,72,23,13.8,13.8,7.1,4.7,270,225,264,309,283,76,283,65,65,65,64,65,1,65,11.8,11.8,11.6,11.6,57,65,65,50,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:14,TOTAL   : 30.99,980,980,980,72,23,13.8,13.8,8.0,4.7,318,259,296,360,335,92,335,65,65,65,65,65,0,65,13.0,13.0,12.8,12.8,58,65,65,49,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:14,TOTAL   : 30.99,1010,1050,1050,72,23,13.8,13.8,7.8,4.7,340,274,311,384,360,101,360,65,65,65,65,65,0,65,13.7,13.7,13.4,13.4,59,65,65,48,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:14,TOTAL   : 30.99,1010,1050,1050,72,23,13.8,13.8,7.8,4.7,340,274,311,384,360,101,360,65,65,65,65,65,0,65,13.7,13.7,13.4,13.4,59,65,65,48,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:32,  0:00,  0:00,0.0,  6:32,0.0,0.0,5.0,0.0,4.7,59.0,100.0,31.0,
10:14:15,TOTAL   : 30.99,1130,1130,1130,72,23,13.8,13.8,7.6,4.1,382,306,343,430,407,117,407,65,65,65,65,65,1,65,14.9,14.9,14.7,14.7,59,65,65,47,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:58,  0:00,  0:00,0.0,  6:58,0.0,0.0,5.0,0.0,4.1,59.0,100.0,31.0,
10:14:15,TOTAL   : 30.99,1130,1130,1130,72,23,13.8,13.8,7.6,4.1,382,306,343,430,407,117,407,65,65,65,65,65,1,65,14.9,14.9,14.7,14.7,59,65,65,47,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  6:58,  0:00,  0:00,0.0,  6:58,0.0,0.0,5.0,0.0,4.1,59.0,100.0,31.0,
10:14:15,TOTAL   : 30.99,1130,1150,1130,72,23,13.8,13.8,7.0,3.8,403,323,361,451,430,124,430,65,65,65,64,65,0,65,15.5,15.5,15.3,15.3,59,65,65,47,  0.40,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,  7:28,  0:00,  0:00,0.0,  7:28,0.0,0.0,5.0,0.0,3.8,59.0,100.0,31.0,
