Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-GJYY
Unit ID........: 10003942
EDC Models.....: P-4-6-H,,
SW Version.....: 1.2
Tracking Number: 570
Local Time: 2026/04/24 09:26:20 
Zulu Time.: 2026/04/24 16:26:20 
Flight Number: 909
Engine Hours.:  56.04 hrs
Tach Time....:  41.86 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*C,CARB T   ANN;*C,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
09:26:20,TOTAL   : 24.82,0,0,0,37,4,11.6,0.0,0.3,37,37,47,39,38,8,38,30,30,29,29,25,1,25,5.1,5.1,4.4,4.4,0,30,30,-1,-1,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 41:56,  0:00,  0:00,0.0, 41:56,0.0,0.0,11.2,0.0,0.3,59.0,100.0,24.8,
09:26:21,TOTAL   : 24.82,0,0,0,42,7,11.6,0.0,0.0,42,42,54,44,47,10,47,36,36,35,35,30,1,30,5.8,5.8,5.1,5.1,0,36,36,3,3,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 83:52,  0:00,  0:00,0.0, 83:52,0.0,0.0,11.2,0.0,0.0,359940.0,100.0,24.8,
09:26:21,TOTAL   : 24.82,0,0,0,47,9,11.6,0.0,0.0,47,47,62,51,54,12,54,41,41,40,40,36,1,36,6.5,6.5,5.7,5.7,0,41,41,6,6,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,11.2,0.0,0.0,359940.0,100.0,24.8,
09:26:21,TOTAL   : 24.82,0,0,0,47,11,11.6,0.0,0.0,47,47,64,51,62,15,62,44,44,43,43,41,1,41,7.2,7.2,6.3,6.3,0,44,44,7,7,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,11.2,0.0,0.0,359940.0,100.0,24.8,
09:26:22,TOTAL   : 24.82,0,0,0,47,12,11.6,0.0,0.0,47,47,66,52,64,17,64,46,46,45,45,44,1,44,8.0,8.0,7.0,7.0,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,11.2,0.0,0.0,359940.0,100.0,24.8,
09:26:22,TOTAL   : 24.82,0,0,0,47,12,11.2,0.0,0.0,47,47,66,52,66,19,66,45,46,45,45,46,1,46,8.7,8.7,7.6,7.6,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,11.2,0.0,0.0,359940.0,100.0,24.8,
09:26:22,TOTAL   : 24.82,0,0,0,47,12,10.7,0.0,0.3,47,47,69,54,66,19,66,46,45,45,45,46,1,46,9.4,9.4,8.2,8.2,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,11.2,0.0,0.3,59.0,100.0,24.8,
09:26:23,TOTAL   : 24.82,0,0,0,47,12,10.3,0.0,0.3,47,47,72,54,69,22,69,46,45,45,45,46,1,46,10.1,10.1,8.8,8.8,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 83:52,  0:00,  0:00,0.0, 83:52,0.0,0.0,11.2,0.0,0.3,59.0,100.0,24.8,
09:26:23,TOTAL   : 24.82,0,0,0,47,12,10.1,0.0,0.3,48,47,72,55,72,25,72,46,45,45,45,46,1,46,10.9,10.9,9.4,9.4,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 83:52,  0:00,  0:00,0.0, 83:52,0.0,0.0,11.2,0.0,0.3,59.0,100.0,24.8,
09:26:23,TOTAL   : 24.82,640,640,640,47,12,10.3,0.0,0.9,45,48,76,55,72,25,72,46,45,45,45,46,1,46,11.6,11.6,10.1,10.1,0,46,46,8,8,  0.00, 41.86,24.8,0.0,0.0,0.0,24.8,0.0,0.0, 83:52,  0:00,  0:00,0.0, 83:52,0.0,0.0,11.2,0.0,0.9,59.0,100.0,24.8,
